Product code,Language,Product id,Category,List price,Price,weight,Quantity,Date added,Free shipping,Zero price action,Detailed Image,Product name,Description,Meta keywords,Meta description,Page title,Features,Options,Secondary categories,Short description,Status
N010704008008267,en,4763,Xbox///Xbox 360///In Stock,899,899,150,46,01/01/1970 03:00:00,N,R,exim/backup/images/GRID_AUTOSPORT_LIMITED_BLACK_EDN.jpg#{[en]:;},XB360 GRID AUTOSPORT,"<p><span style=""background-color: initial;"">In career, specialise in your favourite racing discipline or conquer them all; feel the aggression of the pack in Touring Cars, manage your tyre wear in Endurance events, race Open Wheel cars with precision, show your car control in Drift events and react on the fly in Street races. Each unique category features series dedicated to different classes, including GT, Single-Seaters, Prototypes, Lightweights, Super-Modified, Muscle Cars, Supercars, Hypercars and many more. Bursting with content, GRID Autosport features over 100 routes across 22 incredible locations and the world's most exciting contemporary and classic high-performance racing cars to collect, tune and upgrade.</span></p>","Xbox, XB360, Xbox 360, Xbox game","It's all about the teams, the rivals and the race in an intense new world of professional motorsport. Racing alongside a teammate, you must overcome key rivals and satisfy team sponsors in ferocious races where every pass and position counts.",BT Games: Grid,Publisher: T[Codemasters]; Publication Year: T[2010]; Has Adult Content: C[N]; Genre: T[Racing]; Format: S[Xbox 360],,,"It's all about the teams, the rivals and the race in an intense new world of professional motorsport. Racing alongside a teammate, you must overcome key rivals and satisfy team sponsors in ferocious races where every pass and position counts.",A
N010711610008179,en,4764,Xbox///Xbox 360///In Stock,899,899,150,59,01/01/1970 03:00:00,N,R,exim/backup/images/HALO_4_GOTY.jpg#{[en]:;},XB360 HALO 4 GOTY,"<p><span style=""background-color: initial;"">Halo 4 is the next blockbuster installment in the iconic franchise that's shaped entertainment history and defined a decade of gaming. Set almost five years after the events of Halo 3, Halo 4 takes the series in a bold new direction and sets the stage for an epic new sci-fi saga, in which the Master Chief returns to confront his destiny and face an ancient evil that threatens the fate of the entire universe.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Halo 4 introduces a groundbreaking new multiplayer offering, called ""Halo Infinity"", that builds off the franchise's rich multiplayer history and promises to continue to innovate and redefine the way people think about storytelling and multiplayer experie",BT Games: Halo 4 GOTY,Publication Year: T[2013]; Publisher: T[Microsoft]; Has Adult Content: C[Y]; Genre: T[Shooter]; Format: S[Xbox 360]; Age Limit: O[16],,,"Halo 4 introduces a groundbreaking new multiplayer offering, called ""Halo Infinity"", that builds off the franchise's rich multiplayer history and promises to continue to innovate and redefine the way people think about storytelling and multiplayer experiences.",A
N010711610005642,en,4765,Xbox///Xbox 360///In Stock,899,899,150,118,01/01/1970 03:00:00,N,R,exim/backup/images/Halo_Combat_Evolved_Anniversary.jpg#{[en]:;},XB360 HALO COMBAT EVOLVED ANNIVERSARY,"<p><span style=""background-color: initial;"">Developed by 343 Industries in collaboration with Saber Interactive and Certain Affinity, Halo: Combat Evolved Anniversary immerses you in the landmark campaign and genre-defining multiplayer game that helped revolutionise the first-person shooter genre and sparked one of the most iconic science-fiction universes of all time. Stunningly remastered campaign. Relive the award-winning adventure that defined Halo: Combat Evolved as one of the best games of the decade with breathtaking next-gen graphics and audio remastered for the Xbox 360. Engage in epic-scale battles against the backdrop of the eponymous Halo ringworld, and relive nostalgic memories with the ability to toggle Classic mode to play the original version.For the first time, experience the story that started it all with a friend on Xbox LIVE and launch a cooperative assault against the Covenant, whether you live across the street or halfway around the world.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Halo: Combat Evolved Anniversary is a spectacularly remastered version of the original Halo campaign, created in celebration of the 10th anniversary of one of the most beloved franchises in gaming history. ",BT Games: Halo Combat Evolved,Publication Year: T[2013]; Publisher: T[Microsoft]; Has Adult Content: C[N]; Genre: T[Shooter]; Format: S[Xbox 360]; Age Limit: O[13],,,"Halo: Combat Evolved Anniversary is a spectacularly remastered version of the original Halo campaign, created in celebration of the 10th anniversary of one of the most beloved franchises in gaming history. ",A
N010705801005198,en,4766,Xbox///Xbox 360///In Stock,899,899,150,202,01/01/1970 03:00:00,N,R,exim/backup/images/hitman_absolution_classic.jpg#{[en]:;},XB360 HITMAN ABSOLUTION CLASSICS,"<p><span style=""background-color: initial;"">Betrayed by those he once trusted and hunted by the police, Agent 47 finds himself caught in the center of a dark conspiracy and propelled through a corrupt and twisted world.</span></p>","Xbox, XB360, Xbox 360, Xbox game",Follow cold-blooded assassin Agent 47 as he takes on his most dangerous—and personal—contract to date.,BT Games: Hitman Absolution,Publication Year: T[2012]; Publisher: T[Eidos]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[18],,,Follow cold-blooded assassin Agent 47 as he takes on his most dangerous—and personal—contract to date.,A
N010705801006428,en,4767,Xbox///Xbox 360///In Stock,899,899,150,184,01/01/1970 03:00:00,N,R,exim/backup/images/HITMAN_HD_TRILOGY_CLASSICS.jpg#{[en]:;},XB360 HITMAN HD TRILOGY CLASSICS,"<p><span style=""background-color: initial;"">Over forty incredible missions across three classic Hitman Games all presented in glorious HD. Whether you’re a long-time fan or new to the franchise, this is the opportunity to take on the contracts that defined the series and fully established Agent 47 as the World’s Ultimate Assassin.Three classic Hitman games presented in glorious HD  . All games run smoothly in 720P at 30 frames per second using enhanced assets and texturesSupporting Achievements for Xbox360 and Trophies for PlayStation 3.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Experience for the first time ever the classic and critically acclaimed games: HITMAN 2: SILENT ASSASSIN, HITMAN: CONTRACTS and HITMAN: BLOOD MONEY, unified in one deadly HD-Collection for PlayStation 3 and Xbox 360.",BT Games: Hitman HD Trilogy,Publication Year: T[2012]; Publisher: T[Square Enix]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[18],,,"Experience for the first time ever the classic and critically acclaimed games: HITMAN 2: SILENT ASSASSIN, HITMAN: CONTRACTS and HITMAN: BLOOD MONEY, unified in one deadly HD-Collection for PlayStation 3 and Xbox 360.",A
N010719001007829,en,4768,Xbox///Xbox 360///In Stock,899,899,150,219,01/01/1970 03:00:00,N,R,exim/backup/images/injustice-gods-among-us-ultimate-edition-335171.1.jpg#{[en]:;},XB360 INJUSTICE GODS AMONG US GOTY,"<p><span style=""background-color: initial;"">What if our greatest heroes became our greatest threat? Featuring DC Comics icons such Batman, Lex Luthor, Green Arrow, The Joker, Green Lantern, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman, the latest title from the award-winning studio presents a deep original story. Heroes and villains will engage in epic battles on a massive scale in a world where the line between good and evil has been blurred. Ultimate Edition includes over 30 new skins, 6 new characters and over 60 new S.T.A.R. lab missions.</span></p>","Xbox, XB360, Xbox 360, Xbox game",What if our greatest heroes became our greatest threat?,BT Games: Injustice Gods Among Us,Publication Year: T[2013]; Publisher: T[Warner Bros]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[16],,,What if our greatest heroes became our greatest threat?,A
N010711515006713,en,4769,Xbox///Xbox 360///In Stock,899,899,150,142,01/01/1970 03:00:00,N,R,exim/backup/images/Kinect_Dance_Central_3.jpg#{[en]:;},XB360 KINECT DANCE CENTRAL 3,"<p><span style=""background-color: initial;"">More friends can get in on the fun than ever before with a new multiplayer party mode for up to 8 players – jump right into the game and get everyone dancing! Hot new moves, today’s top songs, and more ways to play– this fall own the dance floor with Dance Central 3, only on Kinect for Xbox 360. Try out the awesome Party mode!</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","The #1 selling dance franchise for Kinect is back! With Dance Central 3, you’ll travel back through time to learn the best dance crazes from across the ages, including disco moves of the 70’s, hip-hop moves from the 80s and the hottest moves on the dance ",BT Games: Kinect Dance Central 3,Publication Year: T[2013]; Publisher: T[Microsoft]; Has Adult Content: C[N]; Genre: T[Xbox Kinect]; Format: S[Xbox 360]; Age Limit: O[13],,,"The #1 selling dance franchise for Kinect is back! With Dance Central 3, you’ll travel back through time to learn the best dance crazes from across the ages, including disco moves of the 70’s, hip-hop moves from the 80s and the hottest moves on the dance floor today - all set to an electrifying soundtrack of 45 chart-topping dance hits.",A
N010711515005647,en,4770,Xbox///Xbox 360///In Stock,899,899,150,125,01/01/1970 03:00:00,N,R,exim/backup/images/Kinect_Disneyland_Adventures.jpg#{[en]:;},XB360 KINECT DISNEYLAND ADVENTURES,"<p><span style=""background-color: initial;"">Whether it's your first time or hundredth time exploring Disneyland, relive your fondest memories or embark on a new adventures as you enjoy whimsical attractions and entertainment that has shaped the dreams of Disney fans, both young and old.Whether you want to go on an adventure in your favorite attraction or explore the entire Park, Kinect: Disneyland Adventures allows you to play at your own pace and customize your own Disneyland experiences right from your living room, whenever you want.Experience your favorite Disneyland attractions as immersive adventures - explore Neverland at Peter Pan's side and take up your sword to fight Captain Hook, battle your way to the island in Pirates of the Caribbean or partner with a friend to escape the Yetis in the Matterhorn.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","Kinect: Disneyland Adventures will allow children and Disney fans of all ages to explore Disneyland park, enjoy immersive adventures based on popular attractions, engage in challenging quests, and interact with beloved Disney characters using their full b",BT Games: Kinect Disneyland Adventures,Publisher: T[Microsoft]; Publication Year: T[2012]; Has Adult Content: C[N]; Genre: T[Xbox Kinect]; Format: S[Xbox 360],,,"Kinect: Disneyland Adventures will allow children and Disney fans of all ages to explore Disneyland park, enjoy immersive adventures based on popular attractions, engage in challenging quests, and interact with beloved Disney characters using their full bodies and voices, no controller required. ",A
N010711509005631,en,4771,Xbox///Xbox 360///In Stock,899,899,150,132,01/01/1970 03:00:00,N,R,exim/backup/images/Kinect_Fable_the_Journey.jpg#{[en]:;},XB360 KINECT FABLE THE JOURNEY,"<p><span style=""background-color: initial;"">From the new first-person perspective of Gabriel, a young dweller who has lost his tribe, you will come to the aid of the ailing and mysterious Theresa, who thrusts you into an action-packed adventure full of dangerous enemies, hair-raising chases and humorous characters. As you traverse through dangerous lands with your horse by your side, you will learn to master magic as a deadly weapon, defend yourself in combat and solve puzzles on your journey to becoming a hero.""Fable: The Journey"" is inspired by the action-packed and critically acclaimed ""Fable"" franchise that has captivated audiences worldwide since 2004 and sold more than 10 million copies.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","You are the controller and the hero. Powered exclusively by Kinect for Xbox 360, ""Fable: The Journey"" is a whole new way to experience the deep storyline, heart-pounding action and picturesque world of Albion that fans have come to know and love about the",BT Games: Fable the Journey Kinect,Publication Year: T[2012]; Publisher: T[Microsoft]; Has Adult Content: C[Y]; Genre: T[Role Playing]; Format: S[Xbox 360]; Age Limit: O[13],,,"You are the controller and the hero. Powered exclusively by Kinect for Xbox 360, ""Fable: The Journey"" is a whole new way to experience the deep storyline, heart-pounding action and picturesque world of Albion that fans have come to know and love about the ""Fable"" franchise.",A
N010718211006659,en,4772,Xbox///Xbox 360///In Stock,899,899,150,61,01/01/1970 03:00:00,N,R,exim/backup/images/XT1366.jpg#{[en]:;},XB360 KINECT JUST DANCE DISNEY,"<p><span style=""background-color: initial;"">With a great selection of family favourite songs, fun dances and kid-friendly gameplay, children of all ages can Just Dance along with family and friends!25 songs including hits from Disney Channel’s hottest shows and songs from beloved Disney Movie Classics. Enjoy songs from the most popular Disney Channel shows: Shake It Up, Hannah Montana, A.N.T. Farm, Jessie, Wizards of Waverly Place, Camp Rock, Phineas and Ferb, High School Musical and Good Luck Charlie.And hits from the Disney Movie classics that the whole family know and love: Jungle Book, Beauty and the Beast, The Little Mermaid, Cinderella, Peter Pan, Tangled, Aristocats, Mary Poppins, Lilo & Stitch, Tinker Bell, Enchanted, The Muppets and Bolt.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect",Just Dance and Disney are bringing together the greatest dance game for the whole Family – Just Dance : Disney Party. Dance like the star of Disney Channel’s hottest shows and beloved Disney Movie Classics.,BT Games: Just Dance Disney,Publisher: T[Ubisoft]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Simulator]; Format: S[Xbox 360],,,Just Dance and Disney are bringing together the greatest dance game for the whole Family – Just Dance : Disney Party. Dance like the star of Disney Channel’s hottest shows and beloved Disney Movie Classics.,A
N010718211005498,en,4773,Xbox///Xbox 360///In Stock,899,899,150,62,01/01/1970 03:00:00,N,R,exim/backup/images/81KIaS0ojkL._SL1500_.jpg#{[en]:;},XB360 KINECT JUST DANCE KIDS,"<p><span style=""background-color: initial;"">30 all-new songs from kids’ favourite Pop stars, TV shows, movies, and more For the first time ever, Just Dance Kids features the original master recordings of great hits like “Hit the Lights” by Selena Gomez, “One Thing” by One Direction, “Give Your Heart a Break” by Demi Lovato, “Ready or Not” by Bridgit Mendler, and “Getting Ready to Wiggle” by The Wiggles. There are also fun, new song covers re-recorded by kids including nursery rhymes for the youngest of fans.  Brand new choreographies and duets led by real kids! Fun and cooperative duets are back in Just Dance Kids 2014! Kids can party with friends through complementary choreography featuring unique parts for each player.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","Just Dance Kids, the absolute leader in the Kids Dance games category, is back! With an all-new tracklist of kids’ hottest songs, featuring original master recordings from their favorite artists, crazy dances by real choreographers, and exclusive kid-frie",BT Games: Kinect Just Dance Kids,Publisher: T[Ubisoft]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Simulator]; Format: S[Xbox 360],,,"Just Dance Kids, the absolute leader in the Kids Dance games category, is back! With an all-new tracklist of kids’ hottest songs, featuring original master recordings from their favorite artists, crazy dances by real choreographers, and exclusive kid-friendly features, children of all ages can Just Dance along with the rest of the family!",A
N010711612006321,en,4774,Xbox///Xbox 360///In Stock,899,899,150,117,01/01/1970 03:00:00,N,R,exim/backup/images/Kinect_Nike_Training.jpg#{[en]:;},XB360 KINECT NIKE+KINECT TRAINING,"<p><span style=""background-color: initial;"">Athlete Inspired: Through Nike’s expertise we know how to train athletes of all shapes and sizes to achieve their peak fitness potential. Get direct access to elite Nike trainers and Nike sport science to get you athlete fit. Get Attaboys and tips from Nike athletes on console, mobile and web. Unlock premium athlete content.Proof of Progress: Every 4 weeks, we assess your strength, endurance and overall fitness to benchmark and show your progress over time. Compare your fuel print to Nike’s family of athletes, celebrities and the Nike+ community to see how you stack up.Personalised to You: Nike + Kinect Training uses Nike Sport science and Kinect camera technology to create a dynamic and reactive workout program based on my body, my performance and my goals. Get personalized feedback and coaching from your trainer who knows you and remembers you. N+KT fits into your life based on your calendar, your time and your level of commitment.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","Whatever your level, whatever your goal, with Nike+ Kinect Training you can now experience personal training, at home. Using real time feedback and elite level coaching, Nike+ Kinect Training delivers a personalized program that evolves as you do.",BT Games: Nike + Kinect Training,Publisher: T[Microsoft]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Action]; Format: S[Xbox 360],,,"Whatever your level, whatever your goal, with Nike+ Kinect Training you can now experience personal training, at home. Using real time feedback and elite level coaching, Nike+ Kinect Training delivers a personalized program that evolves as you do.",A
N010711602006004,en,4775,Xbox///Xbox 360///In Stock,899,899,150,66,01/01/1970 03:00:00,N,R,exim/backup/images/KINECT_RUSH.jpg#{[en]:;},XB360 KINECT PIXAR RUSH,"<p><span style=""background-color: initial;"">Use KinectScan to become a unique character and help your Pixar friends in five vibrant Pixar worlds. Become a super spy in Cars, save the day as a robot in Toy Story, adventure through Paris as a clever rat in Ratatouille, stop Syndrome as a super hero in Incredibles, and help Karl as an intrepid Wilderness Explorer in UP.Experience the sights and sounds of each Pixar world as you solve puzzles and uncover hidden secrets. Meet new friends and unlock adventures as you progress.</span></p>","Xbox, XB360, Xbox 360, Xbox game, Kinect","Kinect Rush: A Disney Pixar Adventure, invites families and fans of all ages to experience the worlds of five beloved Disney Pixar films like never before. Through the magic of Kinect for Xbox 360, scan yourself into the game to become a unique character ",BT Games: Kinect Pixar Rush,Publisher: T[Microsoft]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Action/ Adventure]; Format: S[Xbox 360],,,"Kinect Rush: A Disney Pixar Adventure, invites families and fans of all ages to experience the worlds of five beloved Disney Pixar films like never before. Through the magic of Kinect for Xbox 360, scan yourself into the game to become a unique character in five Pixar worlds.",A
